rowid,year,program,fac_qual_ex,pro_qual_ex,money_sup_ex,field_dev_pace_ex,advising_qual_ex,smart_community_ex,prof_dev_ex,equipment_ex,grad_involve_ex,research_opp_ex,grad_fair_assess_ex,promote_inclu_ex,grant_train_ex,teach_prep_ex,grad_clear_assess_ex,inter_sup_ex,prof_ethic_train_ex,fac_qual_ex_good,pro_qual_ex_good,money_sup_ex_good,field_dev_pace_ex_good,advising_qual_ex_good,smart_community_ex_good,prof_dev_ex_good,equipment_ex_good,grad_involve_ex_good,research_opp_ex_good,grad_fair_assess_ex_good,promote_inclu_ex_good,grant_train_ex_good,teach_prep_ex_good,grad_clear_assess_ex_good,inter_sup_ex_good,prof_ethic_train_ex_good,fac_qual_fair_poor,pro_qual_fair_poor,money_sup_fair_poor,field_dev_pace_fair_poor,advising_qual_fair_poor,smart_community_fair_poor,prof_dev_fair_poor,equipment_fair_poor,grad_involve_fair_poor,research_opp_fair_poor,grad_fair_assess_fair_poor,promote_inclu_fair_poor,grant_train_fair_poor,teach_prep_fair_poor,grad_clear_assess_fair_poor,inter_sup_fair_poor,prof_ethic_train_fair_poor,encourage_agree,idea_resp_agree,construct_feed_agree,time_feed_agree,avail_agree,career_sup_agree,stu_equit_agree,ethic_emp_agree,help_secure_fund_agree,help_prof_dev_agree,publish_help_agree,encourage_intel_diff_agree,comfort_talk_issue_agree,encourage_disagree,idea_resp_disagree,construct_feed_disagree,time_feed_disagree,avail_disagree,career_sup_disagree,stu_equit_disagree,ethic_emp_disagree,help_secure_fund_disagree,help_prof_dev_disagree,publish_help_disagree,encourage_intel_diff_disagree,comfort_talk_issue_disagree,collegial_strong,encouraging_strong,supportive_strong,intel_open_strong,inter_open_strong,inclu_stu_color_strong,inclu_gender_strong,inclu_intern_stu_strong,inclu_stu_disab_strong,inclu_first_gen_strong,inclu_stu_sex_orient_strong,collegial_agree,encouraging_agree,supportive_agree,intel_open_agree,inter_open_agree,inclu_stu_color_agree,inclu_gender_agree,inclu_intern_stu_agree,inclu_stu_disab_agree,inclu_first_gen_agree,inclu_stu_sex_orient_agree,collegial_disagree,encouraging_disagree,supportive_disagree,intel_open_disagree,inter_open_disagree,inclu_stu_color_disagree,inclu_gender_disagree,inclu_intern_stu_disagree,inclu_stu_disab_disagree,inclu_first_gen_disagree,inclu_stu_sex_orient_disagree
1,2012,music,50,26,16,26,26,38,16,20,18,22.4,18.8,14,4,34,20.4,20,16.3,82,68,44,66,54,60,36,68,40,51,60.4,52,18,72,57.1,48,49,4,12,34,20,32,18,36,6,36,24.5,14.6,16,54,22.4,22.4,42,12.2,59.2,61.2,58.3,49,51,59.2,69.4,51,44.9,36.7,36.7,44.9,51,8.2,8.2,10.4,12.2,12.2,8.2,4.1,4.1,20.4,14.3,18.4,10.2,18.4,42,46,49,42,38,58,62,66,46,56,70,84,80,79.6,58,86,88,88,80,84,96,68,2,8,10.2,14,22,2,0,0,4,4,0
1,2015,music,38.9,27.8,22.2,25,25,38.9,16.7,27.8,8.6,13.9,17.6,28.6,2.8,22.2,11.1,13.9,20.6,80.6,72.2,41.7,69.4,47.2,72.2,47.2,52.8,31.4,50,50,45.7,11.1,63.9,38.9,38.9,47.1,11.1,8.3,47.2,13.9,22.2,13.9,19.4,22.2,25.7,16.7,20.6,28.6,63.9,33.3,33.3,27.8,29.4,65.7,68.6,71.4,60,65.7,74.3,74.3,54.3,28.6,45.7,48.6,51.4,60,14.3,14.3,17.1,14.3,11.4,20,14.3,17.1,20,17.1,14.3,17.1,20,30.6,36.1,47.2,36.1,27.8,48.6,55.6,55.6,42.9,38.9,55.6,80.6,77.8,80.6,80.6,61.1,71.4,86.1,86.1,68.6,77.8,91.7,20,5.6,11.1,11.1,11.1,5.6,8.6,2.8,5.6,8.6,8.3
1,2012,architecture,16,9.3,5.4,12,2.7,21.3,6.7,10.8,2.7,8,8,6.7,0,4.2,4,4,6.8,68,54.7,18.9,45.3,17.3,52,28,32.4,26.7,32,34.7,34.7,6.7,33.8,29.3,28,32.4,10.7,12,55.4,26.7,58.7,21.3,33.3,35.1,34.7,32,21.3,25.3,69.3,21.1,25.3,41.3,29.7,32.1,43.4,34.6,32.7,26.4,28.3,34.6,18.9,13.5,17.3,13.5,17.3,23.1,11.3,11.3,15.4,17.3,11.3,7.5,5.8,15.1,36.5,28.8,25,11.5,13.5,25,26.3,19.7,22.4,19.7,26.3,39.5,33.3,14.5,21.3,36,71.1,73.7,68.4,65.8,57.9,55.3,82.9,73.3,56.6,58.7,78.7,3.9,10.5,15.8,11.8,15.8,21.1,6.6,9.3,15.8,9.3,2.7
2,2012,art,33.3,5.6,61.1,22.2,5.6,44.4,0,22.2,16.7,11.1,22.2,16.7,5.6,16.7,11.1,22.2,11.1,88.9,61.1,83.3,66.7,38.9,72.2,22.2,55.6,50,44.4,61.1,38.9,27.8,55.6,38.9,44.4,22.2,0,11.1,0,11.1,33.3,11.1,38.9,22.2,33.3,33.3,5.6,27.8,44.4,27.8,16.7,33.3,33.3,70.6,76.5,76.5,64.7,76.5,82.4,76.5,52.9,47.1,17.6,17.6,76.5,64.7,5.9,0,0,5.9,5.9,0,0,5.9,5.9,11.8,11.8,0,5.9,33.3,33.3,27.8,38.9,50,52.9,44.4,35.3,52.9,41.2,77.8,83.3,72.2,66.7,77.8,72.2,64.7,66.7,64.7,76.5,76.5,94.4,0,0,5.6,11.1,11.1,0,5.6,0,0,5.9,0
3,2012,art_history,45.5,27.3,18.2,36.4,36.4,54.5,9.1,0,10,36.4,36.4,27.3,18.2,54.5,9.1,9.1,18.2,81.8,63.6,45.5,63.6,45.5,63.6,36.4,36.4,60,63.6,54.5,63.6,45.5,81.8,54.5,45.5,45.5,0,9.1,36.4,9.1,36.4,18.2,45.5,18.21,20,9.1,9.1,9.1,36.4,9.1,18.2,18.2,9.1,70,70,60,50,50,30,60,40,50,33.3,30,30,40,30,20,10,40,20,20,20,30,30,33.3,40,20,30,45.5,27.3,27.3,36.4,36.4,63.6,63.6,90.9,45.5,54.5,81.8,81.8,63.6,63.6,72.7,72.7,81.8,81.8,90.9,81.8,90.9,100,9.1,9.1,9.1,0,9.1,9.1,0,0,9.1,0,0
4,2012,arts_management,10.7,14.3,7.1,40.7,17.9,25,28.6,3.6,10.7,17.9,7.1,17.9,3.6,3.8,7.1,28.6,14.3,75,64.3,25,74.1,50,64.3,57.1,17.9,46.4,60.7,53.6,50,50,34.6,60.7,53.6,46.4,3.6,10.7,50,3.7,7.1,17.9,7.1,35.7,28.6,14.3,14.3,28.6,32.1,23.1,21.4,10.7,28.6,55.6,66.7,55.6,59.3,57.7,77.8,81.5,66.7,33.3,44.4,29.6,51.9,59.3,3.7,0,3.7,3.7,7.7,0,11.1,7.4,33.3,18.5,25.9,14.8,14.8,25.9,37,37,48.1,37,40.7,29.6,44.4,37,34.6,40.7,70.4,70.4,77.8,81.5,74.1,74.1,63,77.8,59.3,65.4,85.2,11.1,3.7,14.8,7.4,3.7,7.4,22.2,7.4,11.1,7.7,3.7
5,2012,community_regional_planning,0,8,8,20,0,12,28,0,0,4,4,4,8,0,4,4,0,44,44,8,52,24,32,48,8,12,28,12,16,20,29.2,16,32,16,12,16,64,20,36,16,20,80,44,28,28,44,48,29.2,28,20,16,31.6,47.4,36.8,31.6,21.1,42.1,36.8,42.1,27.8,15.8,11.1,15.8,21.1,5.3,0,0,15.8,15.8,0,10.5,10.5,16.7,26.3,33.3,5.3,5.3,12.5,12,8,20,28,20,32,16,12,12,24,87.5,72,64,72,64,44,80,60,44,36,60,0,4,8,8,8,16,0,4,4,12,0
6,2012,historic_preservation,27.3,0,0,0,0,9.1,0,0,0,9.1,27.3,9.1,0,0,20,18.2,20,63.6,54.5,0,36.4,27.3,54.5,54.5,0,9.1,45.5,54.5,27.3,9.1,36.4,40,36.4,50,18.2,27.3,63.6,27.3,54.5,36.4,36.4,100,54.5,27.3,27.3,45.5,45.5,27.3,50,27.3,30,25,25,0,25,37.5,25,25,25,25,37.5,25,25,12.5,12.5,12.5,25,12.5,12.5,12.5,12.5,0,37.5,0,12.5,25,37.5,18.2,27.3,18.2,18.2,27.3,36.4,36.4,36.4,27.3,27.3,36.4,81.8,72.7,72.7,45.5,72.7,63.6,63.6,54.5,54.5,63.6,81.8,9.1,18.2,18.2,9.1,0,9.1,0,0,9.1,18.2,0
7,2012,interior_architecture,42.9,14.3,0,57.1,0,14.3,14.3,14.3,14.3,0,0,14.3,0,16.7,14.3,0,14.3,85.7,71.4,14.3,57.1,42.9,28.6,57.1,28.6,42.9,28.6,42.9,57.1,14.3,50,42.9,28.6,42.9,0,0,57.1,14.3,42.9,14.3,0,14.3,14.3,42.9,42.9,14.3,42.9,33.3,42.9,14.3,0,71.4,85.7,85.7,42.9,71.4,71.4,71.4,71.4,57.1,14.3,50,57.1,57.1,0,0,0,0,14.3,0,0,0,14.3,14.3,16.7,0,14.3,57.1,42.9,28.6,28.6,14.3,57.1,57.1,57.1,28.6,28.6,42.9,85.7,100,100,71.4,42.9,71.4,71.4,57.1,28.6,71.4,85.7,0,0,0,0,14.3,28.6,14.3,0,0,0,0
8,2012,landscape_architecture,36.7,23.3,3.3,20,13.8,36.7,3.3,0,50,6.7,3.3,13.3,6.9,10,6.9,10,10,63.3,63.3,10,43.3,41.4,63.3,30,10.3,73.3,26.7,43.3,46.7,10.3,33.3,37.9,43.3,43.3,6.7,10,66.7,26.7,27.6,6.7,30,51.7,16.7,10,10,16.7,55.2,30,24.1,30,23.3,59.3,63,59.3,48.1,44.4,44.4,59.3,48.1,7.4,7.4,3.7,29.6,22.2,7.4,3.7,3.7,11.1,11.1,11.1,7.4,0,37,22.2,29.6,11.1,18.5,48.3,41.4,34.5,34.5,34.5,42.9,62.1,51.7,31,37.9,65.5,93.1,82.8,75.9,82.8,72.4,67.9,86.2,82.8,72.4,82.8,86.2,6.9,6.9,10.3,6.9,6.9,10.7,3.4,3.4,10.3,10.3,0
9,2012,nonprofit_management,25,14.3,0,50,0,14.3,12.5,14.3,0,28.6,0,28.6,0,33.3,0,0,28.6,100,71.4,14.3,100,50,57.1,62.5,28.6,0,28.6,57.1,57.1,25,50,28.6,14.3,85.7,0,0,42.9,0,25,0,12.5,14.3,28.6,0,0,0,12.5,0,0,14.3,14.3,16.7,33.3,16.7,0,16.7,33.3,66.7,33.3,0,16.7,0,33.3,33.3,0,0,0,0,0,0,0,0,0,33.3,16.7,0,0,14.3,14.3,28.6,14.3,14.3,42.9,42.9,28.6,14.3,14.3,14.3,85.7,85.7,85.7,57.1,57.1,57.1,100,85.7,71.4,71.4,57.1,0,0,0,0,0,0,0,0,0,0,0
10,2012,public_administration,5,5.3,10.5,15,10,15.8,36.8,5.3,5.3,5,15,11.1,10.5,5,10,10,10.5,45,47.4,15.8,60,55,47.4,63.2,10.5,31.6,35,45,38.9,36.8,25,25,40,47.4,20,15.8,52.6,10,10,26.3,15.8,73.7,36.8,15,15,22.2,42.1,50,15,20,42.1,25,50,40,30,30,50,55,20,5.3,5.3,5.6,15.8,31.6,10,5,5,15,20,5,5,5,52.6,47.4,50,21.1,26.3,35,31.6,35,25,21.1,31.6,55,26.3,21.1,31.6,45,85,89.5,90,65,68.4,63.2,80,63.2,52.6,52.6,70,10,5.3,10,20,21.1,15.8,15,15.8,26.3,26.3,15
,2015,architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,art_history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,arts_management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,community_regional_planning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,historic_preservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,interior_architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,landscape_architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,nonprofit_management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,public_administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,communication_society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,strategic_communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,communication_society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,strategic_communication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,law,9.7,16.1,0,20,6.5,23.3,6.5,29,9.7,6.7,16.1,16.1,3.2,0,13.3,13.3,25.8,32.3,29,9.7,46.7,19.4,56.7,22.6,67.7,29,10,32.3,48.4,3.2,26.7,33.3,36.7,61.3,19.4,29,74.2,33.3,67.7,23.3,61.3,9.7,58.1,60,35.5,25.8,83.9,33.3,43.3,36.7,22.6,61.1,61.1,44.4,29.4,47.1,61.1,55.6,61.1,23.5,33.3,17.6,44.4,44.4,0,0,5.6,23.5,11.8,0,0,0,11.8,11.1,23.5,0,5.6,24.1,29,35.5,29,30,41.9,48.4,51.6,29,31,58.1,72.4,71,61.3,51.6,60,71,80.6,80.6,54.8,62.1,77.4,6.9,3.2,16.1,16.1,13.3,9.7,6.5,9.7,16.1,17.2,6.5
,2015,law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,accounting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,lcb_doctoral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,mba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,accounting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,lcb_doctoral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,mba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,comparative_literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,creative_writing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,east_asian_lang_lit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,english,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,folklore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,german,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,linguistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,philosophy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,romance_languages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,theater_arts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,comparative_literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,creative_writing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,east_asian_lang_lit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,english,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,folklore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
